dt.gps.time,Observer.Sample.ID,GPS,Observer,Avistaje.ID,dt-time,Date,Month,Year,Time,Ranging.Meters,Ranging.Deg,Ranging.Pt.of.Ref,AVG.Error,Activity,Immediate.Spread,Overall.Spread,Immediate.Subgroup.Composition,Additional.Group.Members,Group,Subgroup,Notes,utm_x,utm_y,x_disp,y_disp,Adj_x,Adj_y,Average_x,Average_y,Final_x,Final_y,second_x,second_y
08/06/14 GPS PP10 9:30,OS19045,GPS PP10,KE,AV25096,8/6/2014 9:30,8/6/2014,August,2014,9:30,,NA,LL-13-066,,FORAGING/RESTING/,<25/,<25/,DIG/DOC/DUK/DAO/DAS/DRE/,DIG/DUK/DAO/DRE/,D/,Y/,WILL NEED TO FIGURE OUT NAME OF JUVENILE/SM THAT LIKES TO HANG OUT WITH THE MALES,371084.9624,9930311.914,,,,,,,371084.9624,9930311.914,,
08/06/14 GPS PP10 9:45,OS19045,GPS PP10,KE,AV25096,8/6/2014 9:45,8/6/2014,August,2014,9:45,,NA,LL-13-066,,FORAGING/RESTING/,<25/,<25/,DIG/DOC/DUK/DAO/DAS/DRE/,DIG/DUK/DAO/DRE/,D/,Y/,WILL NEED TO FIGURE OUT NAME OF JUVENILE/SM THAT LIKES TO HANG OUT WITH THE MALES,371092.5082,9930315.531,,,,,,,371092.5082,9930315.531,,
08/06/14 GPS PP10 10:00,OS19045,GPS PP10,KE,AV25096,8/6/2014 10:00,8/6/2014,August,2014,10:00,,NA,GPS PP10 10:00,6,MOVING/,<25/,<25/,DIG/DOC/DUK/DAO/DAS/DRE/,DIG/DUK/DAO/DRE/,D/,Y/,,371087.6004,9930306.645,,,,,,,371087.6004,9930306.645,,
08/06/14 GPS PP10 10:15,OS19045,GPS PP10,KE,AV25096,8/6/2014 10:15,8/6/2014,August,2014,10:15,,NA,GPS PP10 10:15,4,MOVING/,<75/,<75/,DIG/DOC/DUK/DAO/DAS/DRE/,DIG/DUK/DAO/JM3/,D/,Y/,,371061.8359,9930395.833,,,,,,,371061.8359,9930395.833,,
08/06/14 GPS PP10 10:30,OS19045,GPS PP10,KE,AV25096,8/6/2014 10:30,8/6/2014,August,2014,10:30,,NA,GPS PP10 10:30,5,MOVING/,<150/,<150/,DOC/DUK/,DIG/DUK/DAO/JM3/,D/,Y/,,371004.8437,9930441.744,,,,,,,371004.8437,9930441.744,,
08/06/14 GPS PP11 10:30,OS19444,GPS PP11,RR,AV25703,8/6/2014 10:30,8/6/2014,August,2014,10:30,,NA,GPSPP11,,FORAGING/,<25/,<100/,DAO/DAS/,DIG/SAM/,D/,Y/,,371129.616,9930432.068,,,,,,,371129.616,9930432.068,,
08/06/14 GPS PP10 10:45,OS19045,GPS PP10,KE,AV25096,8/6/2014 10:45,8/6/2014,August,2014,10:45,,NA,LL-14-067,,FORAGING/,<25/,<150/,DOC/DUK/,DAO/DUK/UNK/JM3/DIG/,D/,Y/,CANNOT HEAR ROBYN WHOOP BACK,370966.126,9930457.922,,,,,,,370966.126,9930457.922,,
08/06/14 GPS PP11 10:45,OS19444,GPS PP11,RR,AV25703,8/6/2014 10:45,8/6/2014,August,2014,10:45,,NA,GPSPP11,,MOVING/,<25/,<100/,DAO/DAS/,DIG/SAM/,D/,Y/,,371144.8323,9930423.943,,,,,,,371144.8323,9930423.943,,
08/06/14 GPS PP10 11:00,OS19045,GPS PP10,KE,AV25096,8/6/2014 11:00,8/6/2014,August,2014,11:00,,NA,GPS PP10 11:00,5,MOVING/,<25/,<150/,DOC/DUK/,DAO/DUK/UNK/JM3/DIG/,D/,Y/,ROBYN'S WHOOP IS FROM THE EAST ABOUT 100 M AWAY,370995.2259,9930443.21,,,,,,,370995.2259,9930443.21,,
08/06/14 GPS PP11 11:00,OS19444,GPS PP11,RR,AV25703,8/6/2014 11:00,8/6/2014,August,2014,11:00,,NA,GPSPP11,,MOVING/,<25/,<100/,DAO/DAS/,DIG/SAM/,D/,Y/,,371149.4795,9930458.377,,,,,,,371149.4795,9930458.377,,
08/06/14 GPS PP10 11:15,OS19045,GPS PP10,KE,AV25096,8/6/2014 11:15,8/6/2014,August,2014,11:15,,NA,GPS PP10 11:15,6,MOVING/,<100/,<100/,DOC/DUK/,DAO/DUK/UNK/JM3/DIG/,D/,Y/,,371020.9468,9930465.581,,,,,,,371020.9468,9930465.581,,
08/06/14 GPS PP11 11:15,OS19444,GPS PP11,RR,AV25703,8/6/2014 11:15,8/6/2014,August,2014,11:15,,NA,GPSPP11,,MOVING/,<25/,<100/,DAO/DAS/,DIG/SAM/,D/,Y/,,371144.0498,9930492.738,,,,,,,371144.0498,9930492.738,,
08/06/14 GPS PP10 11:30,OS19045,GPS PP10,KE,AV25096,8/6/2014 11:30,8/6/2014,August,2014,11:30,,NA,GPS PP10 11:30,5,MOVING/,<150/,<150/,DIG/DUK/DAO/DAS/DRE/,DAO/DUK/UNK/JM3/DIG/,D/,Y/,,371050.3055,9930545.717,,,,,,,371050.3055,9930545.717,,
08/06/14 GPS PP11 11:30,OS19444,GPS PP11,RR,AV25703,8/6/2014 11:30,8/6/2014,August,2014,11:30,,NA,GPSPP11,,AFV/,<25/,>100/,DIG/DUK/DAO/DAS/DRE/,,D/,Y/,,371145.9361,9930525.855,,,,,,,371145.9361,9930525.855,,
08/06/14 GPS PP10 11:45,OS19045,GPS PP10,KE,AV25096,8/6/2014 11:45,8/6/2014,August,2014,11:45,,NA,GPS PP10 11:45,5,MOVING/FORAGING/,<75/,<75/,DIG/DUK/DAO/DAS/DRE/,DAO/DUK/UNK/JM3/DIG/,D/,Y/,,371038.7068,9930604.02,,,,,,,371038.7068,9930604.02,,
08/06/14 GPS PP11 11:45,OS19444,GPS PP11,RR,AV25703,8/6/2014 11:45,8/6/2014,August,2014,11:45,,NA,GPSPP11,,MOVING/,<25/,<50/,DAS/DLL/DLF/,,D/,Y/,,371114.3108,9930557.247,,,,,,,371114.3108,9930557.247,,
08/06/14 GPS PP10 12:00,OS19045,GPS PP10,KE,AV25096,8/6/2014 12:00,8/6/2014,August,2014,12:00,,NA,LL-14-057,,FORAGING/,<75/,<75/,DAO/DUK/AFD/J1/SF/,DAO/DUK/AFD/J1/SF/DIG/,D/,Y/,ROBYN SOUNDS LIKE SHE'S 75 M AWAY,371034.1264,9930625.918,,,,,,,371034.1264,9930625.918,,
08/06/14 GPS PP11 12:00,OS19444,GPS PP11,RR,AV25703,8/6/2014 12:00,8/6/2014,August,2014,12:00,,NA,GPSPP11,,MOVING/,<25/,<50/,DAS/DLL/DLF/AFD/JM1/DOC/UNK/UNK/,,D/,Y/,,371155.843,9930661.724,,,,,,,371155.843,9930661.724,,
08/06/14 GPS PP10 12:15,OS19045,GPS PP10,KE,AV25096,8/6/2014 12:15,8/6/2014,August,2014,12:15,,NA,GPS PP10 12:15,6,FORAGING/MOVING/,<50/,<100/,DAO/DUK/AFD/J1/SF/,DAO/DUK/AFD/J1/SF/JM/DIG/,D/,Y/,,371029.7588,9930634.482,,,,,,,371029.7588,9930634.482,,
08/06/14 GPS PP11 12:15,OS19444,GPS PP11,RR,AV25703,8/6/2014 12:15,8/6/2014,August,2014,12:15,,NA,GPSPP11,,MOVING/,<25/,<50/,DAS/DLL/DLF/AFD/JM1/DOC/UNK/UNK/,,D/,Y/,,371220.0145,9930705.49,,,,,,,371220.0145,9930705.49,,
08/06/14 GPS PP10 12:30,OS19045,GPS PP10,KE,AV25096,8/6/2014 12:30,8/6/2014,August,2014,12:30,,NA,GPS PP10 12:30,7,MOVING/,<50/,<100/,DAO/DUK/AFD/J1/SF/,DAO/DUK/AFD/J1/SF/DIG/,D/,Y/,DRE IS A SMALLER MALE EITHER JM3 OR SM WITH SCAR OVER LEFT EYE MAKES HIS EYE LOOK A LITTLE DROOPY,371076.399,9930641.11,,,,,,,371076.399,9930641.11,,
08/06/14 GPS PP11 12:30,OS19444,GPS PP11,RR,AV25703,8/6/2014 12:30,8/6/2014,August,2014,12:30,,NA,GPSPP11,,MOVING/,<25/,<50/,DAS/DLL/DLF/AFD/JM1/DOC/UNK/UNK/,,D/,Y/,,371204.122,9930713.219,,,,,,,371204.122,9930713.219,,
