"","Individual","Eigenvector","Group","Sex","ADULT","Full Name"
"1","CAL",0.539783871775421,"C","F","Y","Cali"
"2","CAS",0.616733974735098,"C","F","N","Cashu"
"3","CEL",0.997461506965481,"C","F","N","Celeste"
"4","CHA",0.479529190687572,"C","F","Y","Chai"
"5","CHL",0.974023114225174,"C","F","N","Chloe"
"6","CHP",0.90389082296403,"C","F","N","Chalupa"
"7","CLA",0.477396681345842,"C","M","Y","Clash"
"8","COC",0.2815407521177,"C","F","Y","Coco"
"9","COL",1,"C","M","N","Colugo"
"10","COR",0.702245858862567,"C","F","Y","Cora"
"11","CRO",0.497208870945926,"C","M","Y","Chromeo"
"12","CUZ",0.938971944365571,"C","M","Y","Cuzco"
"13","GWN",0.320286933499528,"C","F","Y","Gwen"
"14","GWW",0.903784832227297,"C","M","N","Gdubs"
