"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","CAL",0.482029318120346,3,"C","F","Y","Cali"
"2","CAS",0.756540719500987,3,"C","F","N","Cashu"
"3","CEL",0.991196805669568,3,"C","F","N","Celeste"
"4","CHA",0.385370732736089,3,"C","F","Y","Chai"
"5","CHL",0.923058320768108,3,"C","F","N","Chloe"
"6","CHP",0.851143215693708,3,"C","F","N","Chalupa"
"7","CLA",0.61860901498078,3,"C","M","Y","Clash"
"8","COL",1,3,"C","M","N","Colugo"
"9","COR",0.817842988059299,3,"C","F","Y","Cora"
"10","CRO",0.598112269604973,3,"C","M","Y","Chromeo"
"11","CUZ",0.935973890007183,3,"C","M","Y","Cuzco"
"12","GWN",0.308876475779904,3,"C","F","Y","Gwen"
"13","GWW",0.864026001342289,3,"C","M","N","Gdubs"
