"","Individual","Eigenvector","timePeriod","Group.x","Sex.x","ADULT.x","Full Name.x","Group.y","Sex.y","ADULT.y","Full Name.y","Group","Sex","ADULT","Full Name","age.sex"
"1","DAN",0.951700099847277,1,"D","F","N","Danerys","D","F","N","Danerys",NA,NA,NA,NA,"NA_NA"
"2","DAO",0.412258092189472,1,"D","M","Y","Dao","D","M","Y","Dao",NA,NA,NA,NA,"NA_NA"
"3","DAR",0.396059973638548,1,"D","F","Y","Darlene","D","F","Y","Darlene",NA,NA,NA,NA,"NA_NA"
"4","DAS",0.851918321983297,1,"D","M","Y","Dash","D","M","Y","Dash",NA,NA,NA,NA,"NA_NA"
"5","DIG",0.33582088108981,1,"D","M","Y","Digit","D","M","Y","Digit",NA,NA,NA,NA,"NA_NA"
"6","DIT",0.960253833709158,1,"D","M","N","Ditto","D","M","N","Ditto",NA,NA,NA,NA,"NA_NA"
"7","DIY",0.44109834221364,1,"D","F","Y","Diya","D","F","Y","Diya",NA,NA,NA,NA,"NA_NA"
"8","DLF",1,1,"D","F","N","Delfin","D","F","N","Delfin",NA,NA,NA,NA,"NA_NA"
"9","DLL",0.755443281704286,1,"D","F","Y","Delilah","D","F","Y","Delilah",NA,NA,NA,NA,"NA_NA"
"10","DOC",0.728392015509803,1,"D","M","Y","Docket","D","M","Y","Docket",NA,NA,NA,NA,"NA_NA"
"11","DRE",0.167074808242214,1,"D","M","N","Dre","D","M","N","Dre",NA,NA,NA,NA,"NA_NA"
"12","DUK",0.488652911635069,1,"D","M","Y","Duke","D","M","Y","Duke",NA,NA,NA,NA,"NA_NA"
"13","OLI",0.991721629813943,1,"D","M","N","Oliver","D","M","N","Oliver",NA,NA,NA,NA,"NA_NA"
"14","OLV",0.637992451010279,1,"D","F","Y","Olivia","D","F","Y","Olivia",NA,NA,NA,NA,"NA_NA"
"15","DAN",1,2,NA,NA,NA,NA,NA,NA,NA,NA,"D","F","N","Danerys","F_N"
"16","DAR",0.771860269033712,2,NA,NA,NA,NA,NA,NA,NA,NA,"D","F","Y","Darlene","F_Y"
"17","DAS",0.167875662763644,2,NA,NA,NA,NA,NA,NA,NA,NA,"D","M","Y","Dash","M_Y"
"18","DIG",0.999999999999999,2,NA,NA,NA,NA,NA,NA,NA,NA,"D","M","Y","Digit","M_Y"
