"","Individual","Eigenvector","Group","Sex","ADULT","Full Name"
"1","DAN",0.98667390870427,"D","F","N","Danerys"
"2","DAO",0.736967759984984,"D","M","Y","Dao"
"3","DAR",0.468960441541211,"D","F","Y","Darlene"
"4","DAS",0.293667546511497,"D","M","Y","Dash"
"5","DAX",0.757995251217665,"D","M","N","Dax"
"6","DIG",0.141394440043477,"D","M","Y","Digit"
"7","DIT",0.926815929482893,"D","M","N","Ditto"
"8","DIY",0.641058968391963,"D","F","Y","Diya"
"9","DLF",0.985103263807795,"D","F","N","Delfin"
"10","DLL",0.769289168415805,"D","F","Y","Delilah"
"11","DOC",0.413031832316556,"D","M","Y","Docket"
"12","DRE",0.0385582206165133,"D","M","N","Dre"
"13","DSY",0.753930844372643,"D","F","Y","Daisy"
"14","DUK",0.65794698019016,"D","M","Y","Duke"
"15","OLI",1,"D","M","N","Oliver"
"16","OLV",0.795891101594841,"D","F","Y","Olivia"
