"","Individual","Eigenvector","timePeriod","Group.x","Sex.x","ADULT.x","Full Name.x","Group.y","Sex.y","ADULT.y","Full Name.y"
"1","DAN",0.951700099847277,1,"D","F","N","Danerys","D","F","N","Danerys"
"2","DAO",0.412258092189472,1,"D","M","Y","Dao","D","M","Y","Dao"
"3","DAR",0.396059973638548,1,"D","F","Y","Darlene","D","F","Y","Darlene"
"4","DAS",0.851918321983297,1,"D","M","Y","Dash","D","M","Y","Dash"
"5","DIG",0.33582088108981,1,"D","M","Y","Digit","D","M","Y","Digit"
"6","DIT",0.960253833709158,1,"D","M","N","Ditto","D","M","N","Ditto"
"7","DIY",0.44109834221364,1,"D","F","Y","Diya","D","F","Y","Diya"
"8","DLF",1,1,"D","F","N","Delfin","D","F","N","Delfin"
"9","DLL",0.755443281704286,1,"D","F","Y","Delilah","D","F","Y","Delilah"
"10","DOC",0.728392015509803,1,"D","M","Y","Docket","D","M","Y","Docket"
"11","DRE",0.167074808242214,1,"D","M","N","Dre","D","M","N","Dre"
"12","DUK",0.488652911635069,1,"D","M","Y","Duke","D","M","Y","Duke"
"13","OLI",0.991721629813943,1,"D","M","N","Oliver","D","M","N","Oliver"
"14","OLV",0.637992451010279,1,"D","F","Y","Olivia","D","F","Y","Olivia"
