"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","DAN",0.967663925233217,3,"D","F","N","Danerys"
"2","DAO",0.881294973475535,3,"D","M","Y","Dao"
"3","DAR",0.427273010798682,3,"D","F","Y","Darlene"
"4","DAS",0.307340510104844,3,"D","M","Y","Dash"
"5","DAX",0.945765804363836,3,"D","M","N","Dax"
"6","DIT",0.826334775483214,3,"D","M","N","Ditto"
"7","DIY",0.621732951486044,3,"D","F","Y","Diya"
"8","DLF",1,3,"D","F","N","Delfin"
"9","DLL",0.582710041690674,3,"D","F","Y","Delilah"
"10","DOC",0.514540252046609,3,"D","M","Y","Docket"
"11","DSY",0.679729722458421,3,"D","F","Y","Daisy"
"12","DUK",0.764315313150774,3,"D","M","Y","Duke"
"13","OLI",0.929530989325447,3,"D","M","N","Oliver"
"14","OLV",0.727424418965264,3,"D","F","Y","Olivia"
