"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name","age.sex"
"1","CLP",0.648732020446664,"1","G","F","Y","Calliope","F_Y"
"2","GAB",0.163435103199713,"1","G","F","N","Gabby","F_N"
"3","GAE",0.25619819101681,"1","G","M","Y","Gael","M_Y"
"4","GAL",0.552567060247471,"1","G","F","Y","Gala","F_Y"
"5","GDV",0.431345239144297,"1","G","F","Y","Godiva","F_Y"
"6","GDW",0.602855333519847,"1","G","M","Y","Goodwin","M_Y"
"7","GEM",0.567511347169991,"1","G","F","N","Gem","F_N"
"8","GIL",0.30565509542073,"1","G","F","Y","Gillian","F_Y"
"9","GIN",0.253390091136066,"1","G","M","N","Gin","M_N"
"10","GIP",0.341827509611195,"1","G","M","Y","Gipmunk","M_Y"
"11","GIS",0.783521091580808,"1","G","F","Y","Gisella","F_Y"
"12","GIT",0.942371689174667,"1","G","F","Y","Gita","F_Y"
"13","GIZ",0.754255224146929,"1","G","M","N","Gizmo","M_N"
"14","GMM",0.679277447679289,"1","G","F","Y","Gemima","F_Y"
"15","GNG",0.801494272303441,"1","G","F","N","Ginger","F_N"
"16","GNO",0.942371689174666,"1","G","M","N","Gino","M_N"
"17","GOO",1,"1","G","M","N","Goose","M_N"
"18","GOR",0.739969084306965,"1","G","M","Y","Gordon","M_Y"
"19","GRE",0.576604631949581,"1","G","F","Y","Greta","F_Y"
"20","GRM",0.764758423740409,"1","G","M","N","Gremlin","M_N"
"21","GRY",0.782088097371592,"1","G","M","N","Grayson","M_N"
"22","GSP",0.912050060458534,"1","G","M","N","Gaspacho","M_N"
"23","GUS",0.723375238854268,"1","G","M","N","Gus","M_N"
"24","CLP",0.281305381097098,"2","G","F","Y","Calliope","F_Y"
"25","GAB",0.66873379950509,"2","G","F","N","Gabby","F_N"
"26","GAE",0.550761689486703,"2","G","M","Y","Gael","M_Y"
"27","GAL",0.909883782083909,"2","G","F","Y","Gala","F_Y"
"28","GDV",0.582583004335024,"2","G","F","Y","Godiva","F_Y"
"29","GDW",0.536522070260714,"2","G","M","Y","Goodwin","M_Y"
"30","GEM",0.809896834652633,"2","G","F","N","Gem","F_N"
"31","GIL",0.784589182752198,"2","G","F","Y","Gillian","F_Y"
"32","GIN",0.464540824622984,"2","G","M","N","Gin","M_N"
"33","GIP",0.169221205963843,"2","G","M","Y","Gipmunk","M_Y"
"34","GIS",0.65626772033866,"2","G","F","Y","Gisella","F_Y"
"35","GIT",0.467877944929107,"2","G","F","Y","Gita","F_Y"
"36","GIZ",0.792196665894549,"2","G","M","N","Gizmo","M_N"
"37","GMM",0.649001888629311,"2","G","F","Y","Gemima","F_Y"
"38","GNG",0.90968646025294,"2","G","F","N","Ginger","F_N"
"39","GNO",0.739018005953392,"2","G","M","N","Gino","M_N"
"40","GOO",0.94179048845777,"2","G","M","N","Goose","M_N"
"41","GOR",0.782722929286358,"2","G","M","Y","Gordon","M_Y"
"42","GRE",0.632897289092163,"2","G","F","Y","Greta","F_Y"
"43","GRM",0.914738974104748,"2","G","M","N","Gremlin","M_N"
"44","GRY",0.32074996041208,"2","G","M","N","Grayson","M_N"
"45","GSP",1,"2","G","M","N","Gaspacho","M_N"
"46","GUS",0.895679861158439,"2","G","M","N","Gus","M_N"
"47","CLP",0.33381262560418,"3","G","F","Y","Calliope","F_Y"
"48","GAB",0.324211103128464,"3","G","F","N","Gabby","F_N"
"49","GAE",0.438759403380764,"3","G","M","Y","Gael","M_Y"
"50","GAL",0.976860268591929,"3","G","F","Y","Gala","F_Y"
"51","GDV",0.750742687593543,"3","G","F","Y","Godiva","F_Y"
"52","GDW",0.561685743303809,"3","G","M","Y","Goodwin","M_Y"
"53","GEM",0.852834273051626,"3","G","F","N","Gem","F_N"
"54","GIL",0.700791468362121,"3","G","F","Y","Gillian","F_Y"
"55","GIN",0.74731169555669,"3","G","M","N","Gin","M_N"
"56","GIP",0.340474455808032,"3","G","M","Y","Gipmunk","M_Y"
"57","GIS",0.944130090418903,"3","G","F","Y","Gisella","F_Y"
"58","GIT",0.525017195574256,"3","G","F","Y","Gita","F_Y"
"59","GIZ",0.79821950981996,"3","G","M","N","Gizmo","M_N"
"60","GMM",0.426557273886608,"3","G","F","Y","Gemima","F_Y"
"61","GNG",1,"3","G","F","N","Ginger","F_N"
"62","GNO",0.828962880290032,"3","G","M","N","Gino","M_N"
"63","GOO",0.792723624208171,"3","G","M","N","Goose","M_N"
"64","GOR",0.362438791056787,"3","G","M","Y","Gordon","M_Y"
"65","GRE",0.469445666143787,"3","G","F","Y","Greta","F_Y"
"66","GRM",0.931823455303275,"3","G","M","N","Gremlin","M_N"
"67","GRY",0.544572922527383,"3","G","M","N","Grayson","M_N"
"68","GSP",0.976613266372205,"3","G","M","N","Gaspacho","M_N"
"69","GUS",0.481473489038668,"3","G","M","N","Gus","M_N"
