"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","CLP",0.33381262560418,3,"G","F","Y","Calliope"
"2","GAB",0.324211103128464,3,"G","F","N","Gabby"
"3","GAE",0.438759403380764,3,"G","M","Y","Gael"
"4","GAL",0.976860268591929,3,"G","F","Y","Gala"
"5","GDV",0.750742687593543,3,"G","F","Y","Godiva"
"6","GDW",0.561685743303809,3,"G","M","Y","Goodwin"
"7","GEM",0.852834273051626,3,"G","F","N","Gem"
"8","GIL",0.700791468362121,3,"G","F","Y","Gillian"
"9","GIN",0.74731169555669,3,"G","M","N","Gin"
"10","GIP",0.340474455808032,3,"G","M","Y","Gipmunk"
"11","GIS",0.944130090418903,3,"G","F","Y","Gisella"
"12","GIT",0.525017195574256,3,"G","F","Y","Gita"
"13","GIZ",0.79821950981996,3,"G","M","N","Gizmo"
"14","GMM",0.426557273886608,3,"G","F","Y","Gemima"
"15","GNG",1,3,"G","F","N","Ginger"
"16","GNO",0.828962880290032,3,"G","M","N","Gino"
"17","GOO",0.792723624208171,3,"G","M","N","Goose"
"18","GOR",0.362438791056787,3,"G","M","Y","Gordon"
"19","GRE",0.469445666143787,3,"G","F","Y","Greta"
"20","GRM",0.931823455303275,3,"G","M","N","Gremlin"
"21","GRY",0.544572922527383,3,"G","M","N","Grayson"
"22","GSP",0.976613266372205,3,"G","M","N","Gaspacho"
"23","GUS",0.481473489038668,3,"G","M","N","Gus"
