"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name","age.sex"
"1","FIN",0.717147517904977,1,"P","M","Y","Finn","M_Y"
"2","PAD",0.730724280140786,1,"P","M","Y","Paddy","M_Y"
"3","PAL",0.782878180801461,1,"P","F","Y","Paleta","F_Y"
"4","PEN",0.45988514852337,1,"P","F","Y","Penelope","F_Y"
"5","PET",0.740654836046709,1,"P","M","Y","Pete","M_Y"
"6","PHO",0.674422601379826,1,"P","F","Y","Phoebe","F_Y"
"7","PHY",0.924871973631419,1,"P","F","Y","Pyllis","F_Y"
"8","PIP",0.39842261421066,1,"P","F","Y","Piper","F_Y"
"9","PIT",0.999630530329979,1,"P","F","N","Pita","F_N"
"10","PRC",0.376894650920562,1,"P","M","Y","Percy","M_Y"
"11","PRL",0.756437375593674,1,"P","F","Y","Pearl","F_Y"
"12","PRY",0.565636296585539,1,"P","F","N","Priya","F_N"
"13","PTC",0.291954861248726,1,"P","F","Y","Patsy","F_Y"
"14","PTU",1,1,"P","F","Y","Petunia","F_Y"
"15","FIN",0.280073239752964,2,"P","M","Y","Finn","M_Y"
"16","PAD",0.291910560207116,2,"P","M","Y","Paddy","M_Y"
"17","PAL",1,2,"P","F","Y","Paleta","F_Y"
"18","PEN",0.291910560207115,2,"P","F","Y","Penelope","F_Y"
"19","PET",0.291910560207115,2,"P","M","Y","Pete","M_Y"
"20","PHO",0.770509552240059,2,"P","F","Y","Phoebe","F_Y"
"21","PIP",0.991195286414866,2,"P","F","Y","Piper","F_Y"
"22","PIT",0.991195286414866,2,"P","F","N","Pita","F_N"
"23","PRC",0.111232087296106,2,"P","M","Y","Percy","M_Y"
"24","PTU",1,2,"P","F","Y","Petunia","F_Y"
"25","FIN",0.454143170180977,3,"P","M","Y","Finn","M_Y"
"26","PAD",0.761717564775319,3,"P","M","Y","Paddy","M_Y"
"27","PAL",0.657599860247806,3,"P","F","Y","Paleta","F_Y"
"28","PEN",0.710901630251856,3,"P","F","Y","Penelope","F_Y"
"29","PET",0.48289383271307,3,"P","M","Y","Pete","M_Y"
"30","PHO",0.817825077115031,3,"P","F","Y","Phoebe","F_Y"
"31","PHY",0.706906566653419,3,"P","F","Y","Pyllis","F_Y"
"32","PIP",0.783982616849013,3,"P","F","Y","Piper","F_Y"
"33","PIT",1,3,"P","F","N","Pita","F_N"
"34","POD",0.32593385778742,3,"P","M","Y","Podrick","M_Y"
"35","PRC",0.527270796629583,3,"P","M","Y","Percy","M_Y"
"36","PRL",0.969955255879856,3,"P","F","Y","Pearl","F_Y"
"37","PRY",0.609552080093938,3,"P","F","N","Priya","F_N"
"38","PTC",0.134315418081415,3,"P","F","Y","Patsy","F_Y"
"39","PTU",0.698759618022688,3,"P","F","Y","Petunia","F_Y"
"40","FIN",0.455403396380185,4,"P","M","Y","Finn","M_Y"
"41","PAD",0.808607020286155,4,"P","M","Y","Paddy","M_Y"
"42","PAL",0.756700767346398,4,"P","F","Y","Paleta","F_Y"
"43","PEN",0.990602580493344,4,"P","F","Y","Penelope","F_Y"
"44","PET",0.596246533281595,4,"P","M","Y","Pete","M_Y"
"45","PHO",0.925029227258846,4,"P","F","Y","Phoebe","F_Y"
"46","PHY",0.980711212531606,4,"P","F","Y","Pyllis","F_Y"
"47","PIP",0.749288265684046,4,"P","F","Y","Piper","F_Y"
"48","PIT",0.947291545347439,4,"P","F","N","Pita","F_N"
"49","POD",0.722175673981411,4,"P","M","Y","Podrick","M_Y"
"50","PRC",0.248677618168775,4,"P","M","Y","Percy","M_Y"
"51","PRL",1,4,"P","F","Y","Pearl","F_Y"
"52","PRY",0.891150371556705,4,"P","F","N","Priya","F_N"
"53","PTU",0.841986010189962,4,"P","F","Y","Petunia","F_Y"
