"","Individual","Eigenvector","Group","Sex","ADULT","Full Name"
"1","FIN",0.543296959451603,"P","M","Y","Finn"
"2","PAD",0.784429901439601,"P","M","Y","Paddy"
"3","PAL",0.790392068583557,"P","F","Y","Paleta"
"4","PEN",0.675788110864852,"P","F","Y","Penelope"
"5","PET",0.617265542305561,"P","M","Y","Pete"
"6","PHO",0.853021093035985,"P","F","Y","Phoebe"
"7","PHY",0.925765700407127,"P","F","Y","Pyllis"
"8","PIP",0.595755712799283,"P","F","Y","Piper"
"9","PIT",1,"P","F","N","Pita"
"10","POD",0.401485040812366,"P","M","Y","Podrick"
"11","PRC",0.365807810106249,"P","M","Y","Percy"
"12","PRL",0.925347761251044,"P","F","Y","Pearl"
"13","PRY",0.737446485454426,"P","F","N","Priya"
"14","PTC",0.145014778305595,"P","F","Y","Patsy"
"15","PTU",0.884086276638055,"P","F","Y","Petunia"
