"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","FIN",0.455403396380185,4,"P","M","Y","Finn"
"2","PAD",0.808607020286155,4,"P","M","Y","Paddy"
"3","PAL",0.756700767346398,4,"P","F","Y","Paleta"
"4","PEN",0.990602580493344,4,"P","F","Y","Penelope"
"5","PET",0.596246533281595,4,"P","M","Y","Pete"
"6","PHO",0.925029227258846,4,"P","F","Y","Phoebe"
"7","PHY",0.980711212531606,4,"P","F","Y","Pyllis"
"8","PIP",0.749288265684046,4,"P","F","Y","Piper"
"9","PIT",0.947291545347439,4,"P","F","N","Pita"
"10","POD",0.722175673981411,4,"P","M","Y","Podrick"
"11","PRC",0.248677618168775,4,"P","M","Y","Percy"
"12","PRL",1,4,"P","F","Y","Pearl"
"13","PRY",0.891150371556705,4,"P","F","N","Priya"
"14","PTU",0.841986010189962,4,"P","F","Y","Petunia"
