,DAN,DAO,DAR,DAS,DAX,DIG,DIT,DIY,DLF,DLL,DOC,DRE,DSY,DUK,OLI,OLV
DAN,0,0.624055782,0.502648617,0.486404834,0.517801374,0.111185984,0.683323649,0.631452581,0.809437387,0.784972511,0.495184136,0.019450034,0.496525584,0.700061463,0.78113879,0.776463263
DAO,0.624055782,0,0.45971564,0.443970767,0.550331126,0.073640743,0.629715612,0.619839803,0.635851184,0.615165336,0.496478873,0.045288532,0.588850174,0.738311688,0.680507497,0.648181276
DAR,0.502648617,0.45971564,0,0.227797001,0.643696163,0.050199203,0.463776383,0.418300654,0.600481348,0.536773428,0.496757458,0.022355976,0.523168909,0.4511323,0.495243425,0.519277108
DAS,0.486404834,0.443970767,0.227797001,0,0.213551119,0.174496644,0.496973366,0.407361963,0.471060172,0.475487301,0.314540059,0.056894889,0.259715026,0.439459127,0.467842914,0.44928401
DAX,0.517801374,0.550331126,0.643696163,0.213551119,0,0,0.411322935,0.421217828,0.545066991,0.544430538,0.461538462,0,0.691696113,0.495472186,0.499411765,0.509754563
DIG,0.111185984,0.073640743,0.050199203,0.174496644,0,0,0.119191919,0.125189681,0.118471338,0.111330698,0.140536149,0.104651163,0,0.068387997,0.10846395,0.092505064
DIT,0.683323649,0.629715612,0.463776383,0.496973366,0.411322935,0.119191919,0,0.876975945,0.642427556,0.638749302,0.482392398,0.027479893,0.464044253,0.654166667,0.749419954,0.673088149
DIY,0.631452581,0.619839803,0.418300654,0.407361963,0.421217828,0.125189681,0.876975945,0,0.570316843,0.567690557,0.447892272,0.003706449,0.479516454,0.59803319,0.708007225,0.635423007
DLF,0.809437387,0.635851184,0.600481348,0.471060172,0.545066991,0.118471338,0.642427556,0.570316843,0,0.90743073,0.566457501,0.03170577,0.511599512,0.640776699,0.725860155,0.701149425
DLL,0.784972511,0.615165336,0.536773428,0.475487301,0.544430538,0.111330698,0.638749302,0.567690557,0.90743073,0,0.54650491,0.033156499,0.512884978,0.61427749,0.70555244,0.684731935
DOC,0.495184136,0.496478873,0.496757458,0.314540059,0.461538462,0.140536149,0.482392398,0.447892272,0.566457501,0.54650491,0,0.039119804,0.374757282,0.453863899,0.529672768,0.512761021
DRE,0.019450034,0.045288532,0.022355976,0.056894889,0,0.104651163,0.027479893,0.003706449,0.03170577,0.033156499,0.039119804,0,0,0.040831477,0.027586207,0.030449827
DSY,0.496525584,0.588850174,0.523168909,0.259715026,0.691696113,0,0.464044253,0.479516454,0.511599512,0.512884978,0.374757282,0,0,0.568641115,0.494294294,0.508387097
DUK,0.700061463,0.738311688,0.4511323,0.439459127,0.495472186,0.068387997,0.654166667,0.59803319,0.640776699,0.61427749,0.453863899,0.040831477,0.568641115,0,0.654243119,0.640671866
OLI,0.78113879,0.680507497,0.495243425,0.467842914,0.499411765,0.10846395,0.749419954,0.708007225,0.725860155,0.70555244,0.529672768,0.027586207,0.494294294,0.654243119,0,0.90268886
OLV,0.776463263,0.648181276,0.519277108,0.44928401,0.509754563,0.092505064,0.673088149,0.635423007,0.701149425,0.684731935,0.512761021,0.030449827,0.508387097,0.640671866,0.90268886,0
