"","CLP","GAB","GAE","GAL","GDV","GDW","GEM","GIL","GIN","GIP","GIS","GIT","GIZ","GMM","GNG","GNO","GOO","GOR","GRE","GRM","GRY","GSP","GUS"
"CLP",0,0.166879795396419,0.253148614609572,0.288283378746594,0.231164383561644,0.220858895705521,0.257105089226702,0.286775631500743,0.24326292789512,0.276091783863805,0.355176933158585,0.39010989010989,0.314917127071823,0.194850382741823,0.357687420584498,0.363636363636364,0.245789473684211,0.210610079575597,0.329145728643216,0.33675799086758,0.286039886039886,0.283246073298429,0.249603384452671
"GAB",0.166879795396419,0,0.340909090909091,0.446400828586225,0.374070138150903,0.334988962472406,0.447826086956522,0.347256857855362,0.410832232496697,0.248115942028986,0.419556566230813,0.336784741144414,0.357974388824214,0.347143753923415,0.438340807174888,0.386991869918699,0.377339901477833,0.366431451612903,0.415461624026696,0.441727367325702,0.387396694214876,0.454545454545455,0.361951219512195
"GAE",0.253148614609572,0.340909090909091,0,0.38808071328015,0.345890410958904,0.474885844748858,0.406989853438557,0.314124293785311,0.397934386391252,0.32836676217765,0.413701540095592,0.393294305481639,0.372527472527473,0.230564430244941,0.395503321410322,0.420229405630865,0.394067796610169,0.491701244813278,0.446104589114194,0.449876543209877,0.438446014127144,0.405817174515235,0.529746508018624
"GAL",0.288283378746594,0.446400828586225,0.38808071328015,0,0.5416872224963,0.493185259969712,0.490909090909091,0.388888888888889,0.416093170989942,0.325455440669621,0.545824847250509,0.439846005774783,0.413385826771654,0.467213114754098,0.582568807339449,0.454460093896714,0.576086956521739,0.519401589527817,0.529003470500744,0.553990610328638,0.461259628454916,0.944823663253697,0.508605072463768
"GDV",0.231164383561644,0.374070138150903,0.345890410958904,0.5416872224963,0,0.355172413793103,0.384095634095634,0.363785557986871,0.299631384939442,0.297650130548303,0.468847352024922,0.350630455868089,0.422091782283885,0.396056338028169,0.477817440081591,0.350303596450257,0.865235539654144,0.444919278252612,0.450100806451613,0.448646125116713,0.386311437758383,0.574509803921569,0.405940594059406
"GDW",0.220858895705521,0.334988962472406,0.474885844748858,0.493185259969712,0.355172413793103,0,0.412563667232598,0.304542905215928,0.37866986219293,0.360328638497653,0.469094922737307,0.367816091954023,0.330847096430474,0.305649717514124,0.473031283710895,0.399075500770416,0.384291725105189,0.552077711818672,0.387608806963646,0.382948657560057,0.51729643427355,0.504446640316206,0.52501289324394
"GEM",0.257105089226702,0.447826086956522,0.406989853438557,0.490909090909091,0.384095634095634,0.412563667232598,0,0.406662476429918,0.572850035536603,0.352334748332323,0.511450381679389,0.454859114433583,0.460606060606061,0.317723770005928,0.495755517826825,0.464444444444444,0.38792270531401,0.468141126908899,0.423452768729642,0.44421906693712,0.430124223602484,0.471144278606965,0.443158953722334
"GIL",0.286775631500743,0.347256857855362,0.314124293785311,0.388888888888889,0.363785557986871,0.304542905215928,0.406662476429918,0,0.386965376782077,0.286695815115553,0.371363377067884,0.404761904761905,0.855840927920464,0.24726609963548,0.394811054709532,0.399545970488082,0.365151515151515,0.418970189701897,0.348734873487349,0.353892821031345,0.400864397622907,0.391412880678982,0.336138613861386
"GIN",0.24326292789512,0.410832232496697,0.397934386391252,0.416093170989942,0.299631384939442,0.37866986219293,0.572850035536603,0.386965376782077,0,0.311211340206186,0.452380952380952,0.354408352668213,0.408137317228226,0.220216606498195,0.458010720667064,0.372119168071951,0.312101910828025,0.361154855643045,0.375070821529745,0.367525773195876,0.356576862123613,0.403455284552846,0.369877049180328
"GIP",0.276091783863805,0.248115942028986,0.32836676217765,0.325455440669621,0.297650130548303,0.360328638497653,0.352334748332323,0.286695815115553,0.311211340206186,0,0.329633740288568,0.326565143824027,0.342152736019242,0.238643246517262,0.313265849760256,0.362527716186253,0.305717054263566,0.430921052631579,0.282939632545932,0.339688911189162,0.42502756339581,0.346414728682171,0.434434968017058
"GIS",0.355176933158585,0.419556566230813,0.413701540095592,0.545824847250509,0.468847352024922,0.469094922737307,0.511450381679389,0.371363377067884,0.452380952380952,0.329633740288568,0,0.442482611021937,0.423204419889503,0.397893504973669,0.876419505678023,0.460135487232934,0.495570866141732,0.431201550387597,0.490909090909091,0.51077694235589,0.419777023751818,0.538423645320197,0.436346426881212
"GIT",0.39010989010989,0.336784741144414,0.393294305481639,0.439846005774783,0.350630455868089,0.367816091954023,0.454859114433583,0.404761904761905,0.354408352668213,0.326565143824027,0.442482611021937,0,0.421673217293655,0.282822757111597,0.462189317821259,0.917941585535466,0.415406427221172,0.413307430791646,0.443450815360337,0.514533401325854,0.494818652849741,0.44080486663547,0.425643469971401
"GIZ",0.314917127071823,0.357974388824214,0.372527472527473,0.413385826771654,0.422091782283885,0.330847096430474,0.460606060606061,0.855840927920464,0.408137317228226,0.342152736019242,0.423204419889503,0.421673217293655,0,0.264923251847641,0.445355191256831,0.415995705850778,0.419052319842053,0.427109974424552,0.396487493347525,0.397743992153016,0.412155260469867,0.415112386417982,0.34852043212776
"GMM",0.194850382741823,0.347143753923415,0.230564430244941,0.467213114754098,0.396056338028169,0.305649717514124,0.317723770005928,0.24726609963548,0.220216606498195,0.238643246517262,0.397893504973669,0.282822757111597,0.264923251847641,0,0.393424036281179,0.273246753246753,0.384853168469861,0.32670744138634,0.323018458197611,0.364241803278689,0.263725490196078,0.457413249211356,0.356926188068756
"GNG",0.357687420584498,0.438340807174888,0.395503321410322,0.582568807339449,0.477817440081591,0.473031283710895,0.495755517826825,0.394811054709532,0.458010720667064,0.313265849760256,0.876419505678023,0.462189317821259,0.445355191256831,0.393424036281179,0,0.470799180327869,0.495668912415784,0.424599434495759,0.506856540084388,0.525482434438397,0.416824196597353,0.574740996546621,0.425160697887971
"GNO",0.363636363636364,0.386991869918699,0.420229405630865,0.454460093896714,0.350303596450257,0.399075500770416,0.464444444444444,0.399545970488082,0.372119168071951,0.362527716186253,0.460135487232934,0.917941585535466,0.415995705850778,0.273246753246753,0.470799180327869,0,0.41662859753312,0.457004830917874,0.4859228362878,0.555106167846309,0.536209553158706,0.459001374255612,0.469862363550071
"GOO",0.245789473684211,0.377339901477833,0.394067796610169,0.576086956521739,0.865235539654144,0.384291725105189,0.38792270531401,0.365151515151515,0.312101910828025,0.305717054263566,0.495570866141732,0.415406427221172,0.419052319842053,0.384853168469861,0.495668912415784,0.41662859753312,0,0.479981801637853,0.516208251473477,0.510027347310848,0.422026431718062,0.611869995289684,0.448935245545415
"GOR",0.210610079575597,0.366431451612903,0.491701244813278,0.519401589527817,0.444919278252612,0.552077711818672,0.468141126908899,0.418970189701897,0.361154855643045,0.430921052631579,0.431201550387597,0.413307430791646,0.427109974424552,0.32670744138634,0.424599434495759,0.457004830917874,0.479981801637853,0,0.402148528724895,0.43530457981325,0.60030549898167,0.537079686780286,0.571843251088534
"GRE",0.329145728643216,0.415461624026696,0.446104589114194,0.529003470500744,0.450100806451613,0.387608806963646,0.423452768729642,0.348734873487349,0.375070821529745,0.282939632545932,0.490909090909091,0.443450815360337,0.396487493347525,0.323018458197611,0.506856540084388,0.4859228362878,0.516208251473477,0.402148528724895,0,0.856882959369315,0.443743937924345,0.530405405405405,0.414220183486239
"GRM",0.33675799086758,0.441727367325702,0.449876543209877,0.553990610328638,0.448646125116713,0.382948657560057,0.44421906693712,0.353892821031345,0.367525773195876,0.339688911189162,0.51077694235589,0.514533401325854,0.397743992153016,0.364241803278689,0.525482434438397,0.555106167846309,0.510027347310848,0.43530457981325,0.856882959369315,0,0.473999079613438,0.554691075514874,0.460927152317881
"GRY",0.286039886039886,0.387396694214876,0.438446014127144,0.461259628454916,0.386311437758383,0.51729643427355,0.430124223602484,0.400864397622907,0.356576862123613,0.42502756339581,0.419777023751818,0.494818652849741,0.412155260469867,0.263725490196078,0.416824196597353,0.536209553158706,0.422026431718062,0.60030549898167,0.443743937924345,0.473999079613438,0,0.477911646586345,0.649948822927329
"GSP",0.283246073298429,0.454545454545455,0.405817174515235,0.944823663253697,0.574509803921569,0.504446640316206,0.471144278606965,0.391412880678982,0.403455284552846,0.346414728682171,0.538423645320197,0.44080486663547,0.415112386417982,0.457413249211356,0.574740996546621,0.459001374255612,0.611869995289684,0.537079686780286,0.530405405405405,0.554691075514874,0.477911646586345,0,0.525892857142857
"GUS",0.249603384452671,0.361951219512195,0.529746508018624,0.508605072463768,0.405940594059406,0.52501289324394,0.443158953722334,0.336138613861386,0.369877049180328,0.434434968017058,0.436346426881212,0.425643469971401,0.34852043212776,0.356926188068756,0.425160697887971,0.469862363550071,0.448935245545415,0.571843251088534,0.414220183486239,0.460927152317881,0.649948822927329,0.525892857142857,0
