dt-time,Activity,Immediate.Spread,Focal,Subgroup
8/6/2014 9:30,FORAGING/RESTING/,<25/,DIG,DOC/DUK/DAO/DAS/DRE/
8/6/2014 9:45,FORAGING/RESTING/,<25/,DIG,DOC/DUK/DAO/DAS/DRE/
8/6/2014 10:00,MOVING/,<25/,DIG,DOC/DUK/DAO/DAS/DRE/
8/6/2014 10:15,MOVING/,<75/,DIG,DOC/DUK/DAO/DAS/DRE/
8/6/2014 10:30,MOVING/,<150/,DOC,DUK/
8/6/2014 10:30,FORAGING/,<25/,DAO,DAS/
8/6/2014 10:45,FORAGING/,<25/,DOC,DUK/
8/6/2014 10:45,MOVING/,<25/,DAO,DAS/
8/6/2014 11:00,MOVING/,<25/,DOC,DUK/
8/6/2014 11:00,MOVING/,<25/,DAO,DAS/
8/6/2014 11:15,MOVING/,<100/,DOC,DUK/
8/6/2014 11:15,MOVING/,<25/,DAO,DAS/
8/6/2014 11:30,MOVING/,<150/,DIG,DUK/DAO/DAS/DRE/
8/6/2014 11:30,AFV/,<25/,DIG,DUK/DAO/DAS/DRE/
8/6/2014 11:45,MOVING/FORAGING/,<75/,DIG,DUK/DAO/DAS/DRE/
8/6/2014 11:45,MOVING/,<25/,DAS,DLL/DLF/
8/6/2014 12:00,FORAGING/,<75/,DAO,DUK/AFD/J1/SF/
8/6/2014 12:00,MOVING/,<25/,DAS,DLL/DLF/AFD/JM1/DOC/UNK/UNK/
8/6/2014 12:15,FORAGING/MOVING/,<50/,DAO,DUK/AFD/J1/SF/
8/6/2014 12:15,MOVING/,<25/,DAS,DLL/DLF/AFD/JM1/DOC/UNK/UNK/
8/6/2014 12:30,MOVING/,<50/,DAO,DUK/AFD/J1/SF/
8/6/2014 12:30,MOVING/,<25/,DAS,DLL/DLF/AFD/JM1/DOC/UNK/UNK/
8/6/2014 12:45,MOVING/,<75/,DIG,DAS/DAO/DUK/DOC/AFD/J1/SF/DRE/DLL/DLF/DIX/
8/6/2014 13:00,MOVING/,<50/,DIG,DAS/DAO/DUK/DOC/AFD/J1/SF/DRE/DLL/DLF/DIX/
8/6/2014 13:30,MOVING/FORAGING/RESTING,<100/,DIG,DOC/DLL/DLF/AFD/J1/SF/DRE/SAM/AF/OLV/OLI/
8/6/2014 13:45,MOVING/FORAGING/RESTING/,<100/,DIG,DOC/DLL/DLF/AFD/J1/SF/DRE/SAM/AF/OLV/OLI/
8/6/2014 14:00,NA,NA,DIG,DOC/DLL/DLF/AFD/J1/SF/DRE/SAM/AF/OLV/OLI/
8/6/2014 15:00,NA,NA,DIG,DLL/DLF/
8/6/2014 15:15,NA,NA,DIG,DLL/DLF/
8/6/2014 15:30,NA,NA,DIG,DLL/DLF/
8/6/2014 15:45,NA,NA,DIG,DLL/DLF/
8/6/2014 16:00,NA,NA,DIG,DLL/DLF/
8/6/2014 16:15,NA,NA,DIG,DLL/DLF/
8/6/2014 16:30,NA,NA,DIG,DLL/DLF/
8/6/2014 16:45,NA,NA,DIG,DLL/DLF/
8/6/2014 17:00,NA,NA,DIG,DLL/DLF/
8/6/2014 17:15,NA,NA,DIG,DLL/DLF/
8/6/2014 17:30,NA,NA,DIG,DLL/DLF/
8/6/2014 17:45,NA,NA,DIG,DLL/DLF/
8/6/2014 18:00,NA,NA,DIG,DLL/DLF/
8/7/2014 7:30,RESTING/,<25,DIG,DLL/DLF/
8/7/2014 7:45,RESTING/,<25,DIG,DLL/DLF/
8/7/2014 8:00,MOVING/,<25,DIG,DLL/DLF/DAS/
8/7/2014 8:15,MOVING/,<50,DIG,DLL/DLF/DAS/
8/7/2014 8:30,MOVING/,<25,DIG,DLL/DLF/DAS/
8/7/2014 8:45,MOVING/,<25,DIG,DLL/DLF/DAS/
8/7/2014 9:00,MOVING/,<25,DIG,DLL/DLF/DAS/
8/7/2014 9:15,FORAGING/,<25,DIG,DLL/DLF/DAS/
8/7/2014 9:30,FORAGING/,<25,DIG,DLL/DLF/DAS/
8/7/2014 9:45,RESTING/,<25,DIG,DLL/DLF/DAS/
8/7/2014 10:00,RESTING/,<25,DIG,DLL/DLF/DAS/DOC/
8/7/2014 10:15,RESTING/,<25,DIG,DLL/DLF/DAS/DOC/
8/7/2014 10:30,RESTING/,<25,DIG,DLL/DLF/DAS/DOC/
8/7/2014 10:45,MOVING/,<25,DIG,DLL/DLF/DAS/DOC/
8/7/2014 11:00,MOVING/,<50,DIG,DLL/DLF/DAS/DOC/DUK/DOO/
8/7/2014 11:15,MOVING/,<50,DIG,DLL/DLF/DAS/DOC/DUK/DOO/
8/7/2014 11:30,RESTING/,<25,DIG,DLL/DLF/DAS/DOC/DUK/DOO/
8/7/2014 11:45,RESTING/,<25,DIG,DLL/DLF/DAS/DOC/DUK/DOO/
8/7/2014 12:00,RESTING/,<25,DIG,DLL/DLF/DAS/DOC/DUK/DOO/
8/7/2014 12:15,RESTING/,<25,DIG,DLL/DLF/DAS/DOC/DUK/DOO/
8/7/2014 12:30,RESTING/,<25,DIG,DLL/DLF/DAS/DOC/DUK/DOO/
8/7/2014 12:45,RESTING/,<25,DIG,DLL/DLF/DAS/DOC/DUK/DOO/
8/7/2014 13:00,MOVING/,<50,DIG,DOO/DOC/DUK/
8/7/2014 13:15,MOVING/,<50,DIG,DOO/DOC/DUK/
8/7/2014 13:30,MOVING/,<50,DIG,DOO/DOC/DUK/
8/7/2014 13:45,FORAGING/,<25,DIG,DOO/DOC/DLL/DLF/
8/7/2014 14:00,FORAGING/,<25,DIG,DOO/DOC/DLL/DLF/
8/7/2014 14:15,MOVING/,<25,DIG,DOO/DOC/DLL/DLF/
9/2/2014 8:30,RESTING/,<25/,DIG,DOC/
9/2/2014 8:45,RESTING/,<25/,DIG,DOC/
9/2/2014 9:00,MOVING/,<25/,DIG,DOC/
9/2/2014 9:15,FORAGING/,<25/,DIG,DOC/
9/2/2014 9:30,MOVING/,<25/,DIG,DOC/
9/2/2014 9:45,MOVING/,<25/,DIG,DOC/
9/2/2014 10:00,RESTING/,<25/,DIG,DOC/
9/2/2014 10:15,RESTING/,<25/,DIG,DOC/
9/2/2014 10:30,RESTING/,<25/,DIG,DOC/
9/2/2014 10:45,RESTING/,<25/,DIG,DOC/
9/2/2014 11:00,RESTING/,<25/,DIG,DOC/
9/2/2014 11:15,FORAGING/,<25/,DIG,DOC/
9/2/2014 11:30,FORAGING/,<25/,DIG,DOC/
9/2/2014 11:45,RESTING/FORAGING/,<25/,DIG,DOC/
9/2/2014 12:00,RESTING/,<25/,DIG,DOC/
9/2/2014 12:15,RESTING/,<25/,DIG,DOC/
9/2/2014 12:30,RESTING/,<25/,DIG,DOC/
9/2/2014 12:45,RESTING/,<25/,DIG,DOC/
9/2/2014 13:00,MOVING/,<25/,DIG,DOC/
9/2/2014 13:15,MOVING/,<25/,DIG,DOC/
9/2/2014 13:30,MOVING/,<25/,DIG,DOC/
9/2/2014 13:45,MOVING/,<100/,DIG,DOC/
9/2/2014 14:00,MOVING/,<25/,DIG,DOC/
9/2/2014 14:15,FORAGING/,<25/,DIG,DOC/
9/2/2014 14:30,FORAGING/,<25/,DIG,DOC/
9/2/2014 14:45,FORAGING/,<25/,DIG,DOC/
9/2/2014 15:00,FORAGING/,<25/,DIG,DOC/
9/2/2014 15:15,MOVING/,<25/,DIG,DOC/
9/2/2014 15:30,MOVING/,<25/,DIG,DOC/
9/2/2014 15:45,FORAGING/,<25/,DIG,DOC/
9/2/2014 16:00,FORAGING/,<25/,DIG,DOC/
9/2/2014 16:15,RESTING/FORAGING/,<50/,DIG,DOC/
9/2/2014 16:30,FORAGING/,<75/,DIG,DOC/
9/2/2014 16:45,FORAGING/,<50/,DIG,DOC/
9/2/2014 17:00,FORAGING/,<50/,DIG,DOC/
9/2/2014 17:15,AFV/,<50/,DIG,DOC/
9/2/2014 17:30,RESTING/,<50/,DIG,DOC/
9/2/2014 17:45,RESTING/,<75/,DIG,DOC/
9/2/2014 18:00,RESTING/,<75/,DIG,DOC/
9/3/2014 9:00,MOVING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 9:15,FORAGING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 9:30,RESTING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 9:45,RESTING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 10:00,RESTING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 10:15,RESTING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 10:30,RESTING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 10:45,RESTING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 11:00,RESTING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 11:15,RESTING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 11:30,RESTING/,<50/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 11:45,MOVING/,<75/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 12:00,FORAGING/,<25/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 12:15,FORAGING/,<25/,DOT,DOO/AM/AF/JM3/OLV/OLI/DIY/DIT/DLL/DLF/DAH/DAN/AFD/JM2/
9/3/2014 16:15,MOVING/,<25/,DLL,DLF/DAH/DAN/
9/3/2014 16:30,FEEDING/,<25/,DLL,DLF/DAH/DAN/
9/3/2014 16:45,FEEDING/,<25/,DLL,DLF/DAH/DAN/
9/3/2014 17:00,FEEDING/,<25/,DLL,DLF/DAH/DAN/
9/3/2014 17:15,MOVING/,<25/,DLL,DLF/DAH/DAN/
9/3/2014 17:30,MOVING/FORAGING/,<75/,DLL,DLF/DAH/DAN/OLV/OLI/DOC/DIY/DIT/
9/3/2014 17:45,FORAGING/,<75/,DLL,DLF/DAH/DAN/OLV/OLI/DOC/DIY/DIT/
9/3/2014 18:00,FORAGING/,<100/,DLL,DLF/DAH/DAN/OLV/OLI/DOC/DIY/DIT/
9/3/2014 18:15,FORAGING/,<100/,DLL,DLF/DAH/DAN/OLV/OLI/DOC/DIY/DIT/
9/4/2014 12:30,MOVING/,<50/,DIG,DOC/
9/4/2014 12:45,MOVING/,<25/,DOC,
9/4/2014 13:00,MOVING/,<25/,DOC,
9/4/2014 13:15,FORAGING/,<25/,DOC,
9/4/2014 13:30,MOVING/,<25/,DOC,
9/4/2014 13:45,MOVING/,<25/,DOC,
9/4/2014 14:00,FORAGING/,<25/,DOC,
9/4/2014 14:15,FORAGING/,<25/,DOC,
9/4/2014 14:30,RESTING/,<25/,DOC,
9/4/2014 14:45,FORAGING/,<50/,DOC,DUK/DAO/DAS/DRE/DIG/
9/4/2014 15:00,RESTING/,<25/,DOC,DUK/DAO/DAS/DRE/DIG/
9/4/2014 15:15,RESTING/,<25/,DOC,DUK/DAO/DAS/DRE/DIG/
9/4/2014 15:30,MOVING/,<50/,DOC,DUK/DAO/DAS/DRE/DIG/
9/4/2014 15:45,MOVING/,<50/,DOC,DUK/DAO/DAS/DRE/DIG/
9/4/2014 16:00,MOVING/,<50/,DOC,DUK/DAO/DAS/DRE/DIG/
9/4/2014 16:15,FORAGING/,<50/,DOC,DUK/DAO/DAS/DRE/DIG/
9/4/2014 16:30,MOVING/,<75/,DOC,DUK/DAO/DAS/DRE/DIG/
