"","DAN","DAO","DAR","DAS","DAX","DIG","DIT","DIY","DLF","DLL","DOC","DRE","DSY","DUK","OLI","OLV"
"DAN",0,0.209433145824318,0.130646589902569,0.223880597014925,0.156592099000476,0.026774595267746,0.252485948984003,0.208,0.269524617996604,0.249786142001711,0.166151126822802,0.0033003300330033,0.122216958787305,0.245384961728951,0.346033168982519,0.329450139794967
"DAO",0.209433145824318,0,0.158439116125999,0.163395485770363,0.252541466024612,0.0533423362592843,0.176372015081693,0.154082528533802,0.259548611111111,0.220594571305472,0.245725451880801,0.0452885317750183,0.178903826266805,0.422422954303932,0.229535864978903,0.200173686495875
"DAR",0.130646589902569,0.158439116125999,0,0.176893311221669,0.643696162881754,0.0161912104857363,0.185219399538106,0.150361445783133,0.181697023545091,0.138901098901099,0.178753830439224,0.0101954120645709,0.137911781127862,0.224849094567404,0.171416045594038,0.178504672897196
"DAS",0.223880597014925,0.163395485770363,0.176893311221669,0,0.0710090763481046,0.123853211009174,0.181557572861921,0.113592233009709,0.190078813166435,0.165111940298507,0.13241308793456,0.011070110701107,0.0204616998950682,0.17570281124498,0.149286987522282,0.122977346278317
"DAX",0.156592099000476,0.252541466024612,0.643696162881754,0.0710090763481046,0,0,0.147487083137623,0.142857142857143,0.151088929219601,0.123350022758307,0.136245449817993,0,0.148081534772182,0.172413793103448,0.142025089605735,0.150047938638543
"DIG",0.026774595267746,0.0533423362592843,0.0161912104857363,0.123853211009174,0,0,0.110220440881764,0.115037593984962,0.0806153846153846,0.0724729815638906,0.0540540540540541,0.0555555555555556,0,0.0422055820285909,0.0974549968963377,0.0808283233132933
"DIT",0.252485948984003,0.176372015081693,0.185219399538106,0.181557572861921,0.147487083137623,0.110220440881764,0,0.876975945017182,0.28540864356012,0.256959314775161,0.195132942767012,0.00327225130890052,0.078804347826087,0.375061850569025,0.277424819991529,0.224786324786325
"DIY",0.208,0.154082528533802,0.150361445783133,0.113592233009709,0.142857142857143,0.115037593984962,0.876975945017182,0,0.303044280442804,0.273567467652495,0.208109428431851,0.00370644922164566,0.0804315841098578,0.411509229098806,0.293661650706794,0.237108655616943
"DLF",0.269524617996604,0.259548611111111,0.181697023545091,0.190078813166435,0.151088929219601,0.0806153846153846,0.28540864356012,0.303044280442804,0,0.907430730478589,0.176017130620985,0.00680693069306931,0.0936395759717314,0.303539019963702,0.278782894736842,0.253706056755612
"DLL",0.249786142001711,0.220594571305472,0.138901098901099,0.165111940298507,0.123350022758307,0.0724729815638906,0.256959314775161,0.273567467652495,0.907430730478589,0,0.202065559048047,0.00711053652230123,0.116419294990724,0.337148307105389,0.307394668959587,0.282039911308204
"DOC",0.166151126822802,0.245725451880801,0.178753830439224,0.13241308793456,0.136245449817993,0.0540540540540541,0.195132942767012,0.208109428431851,0.176017130620985,0.202065559048047,0,0.00950118764845606,0.197294250281849,0.195353247984827,0.241224122412241,0.222691045475856
"DRE",0.0033003300330033,0.0452885317750183,0.0101954120645709,0.011070110701107,0,0.0555555555555556,0.00327225130890052,0.00370644922164566,0.00680693069306931,0.00711053652230123,0.00950118764845606,0,0,0.0346863468634686,0.0148606811145511,0.016382252559727
"DSY",0.122216958787305,0.178903826266805,0.137911781127862,0.0204616998950682,0.148081534772182,0,0.078804347826087,0.0804315841098578,0.0936395759717314,0.116419294990724,0.197294250281849,0,0,0.307960488088321,0.300575013068479,0.300333704115684
"DUK",0.245384961728951,0.422422954303932,0.224849094567404,0.17570281124498,0.172413793103448,0.0422055820285909,0.375061850569025,0.411509229098806,0.303539019963702,0.337148307105389,0.195353247984827,0.0346863468634686,0.307960488088321,0,0.162837565497783,0.137687188019967
"OLI",0.346033168982519,0.229535864978903,0.171416045594038,0.149286987522282,0.142025089605735,0.0974549968963377,0.277424819991529,0.293661650706794,0.278782894736842,0.307394668959587,0.241224122412241,0.0148606811145511,0.300575013068479,0.162837565497783,0,0.844816883923029
"OLV",0.329450139794967,0.200173686495875,0.178504672897196,0.122977346278317,0.150047938638543,0.0808283233132933,0.224786324786325,0.237108655616943,0.253706056755612,0.282039911308204,0.222691045475856,0.016382252559727,0.300333704115684,0.137687188019967,0.844816883923029,0
