"","Date","Month","Year","Focal","Subgroup","timePeriod"
"1",2014-08-06,"August",2014,"DIG","DOC/DUK/DAO/DAS/DRE/",1
"2",2014-08-06,"August",2014,"DIG","DOC/DUK/DAO/DAS/DRE/",1
"3",2014-08-06,"August",2014,"DIG","DOC/DUK/DAO/DAS/DRE/",1
"4",2014-08-06,"August",2014,"DIG","DOC/DUK/DAO/DAS/DRE/",1
"5",2014-08-06,"August",2014,"DOC","DUK/",1
"6",2014-08-06,"August",2014,"DAO","DAS/",1
"7",2014-08-06,"August",2014,"DOC","DUK/",1
"8",2014-08-06,"August",2014,"DAO","DAS/",1
"9",2014-08-06,"August",2014,"DOC","DUK/",1
"10",2014-08-06,"August",2014,"DAO","DAS/",1
"11",2014-08-06,"August",2014,"DOC","DUK/",1
"12",2014-08-06,"August",2014,"DAO","DAS/",1
"13",2014-08-06,"August",2014,"DIG","DUK/DAO/DAS/DRE/",1
"14",2014-08-06,"August",2014,"DIG","DUK/DAO/DAS/DRE/",1
"15",2014-08-06,"August",2014,"DIG","DUK/DAO/DAS/DRE/",1
"16",2014-08-06,"August",2014,"DAS","DLL/DLF/",1
"17",2014-08-06,"August",2014,"DAO","DUK/AFD/J1/SF/",1
"18",2014-08-06,"August",2014,"DAS","DLL/DLF/AFD/JM1/DOC/UNK/UNK/",1
"19",2014-08-06,"August",2014,"DAO","DUK/AFD/J1/SF/",1
"20",2014-08-06,"August",2014,"DAS","DLL/DLF/AFD/JM1/DOC/UNK/UNK/",1
"21",2014-08-06,"August",2014,"DAO","DUK/AFD/J1/SF/",1
"22",2014-08-06,"August",2014,"DAS","DLL/DLF/AFD/JM1/DOC/UNK/UNK/",1
"23",2014-08-06,"August",2014,"DIG","DAS/DAO/DUK/DOC/AFD/J1/SF/DRE/DLL/DLF/DIX/",1
"24",2014-08-06,"August",2014,"DIG","DAS/DAO/DUK/DOC/AFD/J1/SF/DRE/DLL/DLF/DIX/",1
"25",2014-08-06,"August",2014,"SM","SAM/AFD/I1/AFD/JM1/AM/DIG/DAS/",1
"26",2014-08-06,"August",2014,"DIG","DOC/DLL/DLF/AFD/J1/SF/DRE/SAM/AF/OLV/OLI/",1
"27",2014-08-06,"August",2014,"DIG","DOC/DLL/DLF/AFD/J1/SF/DRE/SAM/AF/OLV/OLI/",1
"28",2014-08-06,"August",2014,"DIG","DOC/DLL/DLF/AFD/J1/SF/DRE/SAM/AF/OLV/OLI/",1
"29",2014-08-06,"August",2014,"AM","AFD/JF1/AFD/JF1/SF/SM",1
"30",2014-08-06,"August",2014,"AM","AFD/JF1/AFD/JF1/SF/SM",1
"31",2014-08-06,"August",2014,"AM","AFD/JF1/AFD/JF1/SF/SM",1
"32",2014-08-06,"August",2014,"AM","AFD/JF1/AFD/JF1/SF/SM",1
"33",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"34",2014-08-06,"August",2014,"AM","AFD/JF1/AFD/JF1/SF/SM",1
"35",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"36",2014-08-06,"August",2014,"AM","AFD/JF1/AFD/JF1/SF/SM",1
"37",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"38",2014-08-06,"August",2014,"AM","AFD/JF1/SF/SM",1
"39",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"40",2014-08-06,"August",2014,"AM","AFD/JF1/SF/SM/AFD/I1/",1
"41",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"42",2014-08-06,"August",2014,"AM","AFD/JF1/SF/SM/AFD/I1/",1
"43",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"44",2014-08-06,"August",2014,"AM","AFD/JF1/SF/SM/AFD/I1/",1
"45",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"46",2014-08-06,"August",2014,"AM","AFD/JF1/SF/SM/AFD/I1/",1
"47",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"48",2014-08-06,"August",2014,"AM","AFD/JF1/SF/SM/AFD/I1/",1
"49",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"50",2014-08-06,"August",2014,"AM","AFD/JF1/SF/SM/AFD/I1/",1
"51",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"52",2014-08-06,"August",2014,"AM","AFD/JF1/SF/SM/AFD/I1/",1
"53",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"54",2014-08-06,"August",2014,"AM","AFD/JF1/SF/SM/AFD/I1/",1
"55",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"56",2014-08-06,"August",2014,"AM","AFD/JF1/SF/SM/AFD/I1/",1
"57",2014-08-06,"August",2014,"DIG","DLL/DLF/",1
"58",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/",1
"59",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/",1
"60",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/",1
"61",2014-08-07,"August",2014,"DIG","DLL/DLF/",1
"62",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/",1
"63",2014-08-07,"August",2014,"DIG","DLL/DLF/",1
